Park Name,Year,Cause of Death
Cape Hatteras National Seashore,2009,6
Yosemite National Park,2007,6
Suitland,2019,6
Suitland,2018,6
Natchez Trace Parkway,2007,6
Gateway National Recreation Area,2014,6
Natchez Trace Parkway,2008,6
Natchez Trace Parkway,2010,6
Golden Gate National Recreation Area,2020,5
Death Valley National Park,2021,5
Golden Gate National Recreation Area,2013,5
Cape Hatteras National Seashore,2014,5
Suitland,2021,5
Indiana Dunes National Park,2011,5
Chattahoochee River National Recreation Area,2018,5
Chattahoochee River National Recreation Area,2017,5
Cape Hatteras National Seashore,2018,5
Zion National Park,2017,5
Death Valley National Park,2017,5
Cuyahoga Valley National Park,2016,5
Zion National Park,2021,5
Chesapeake & Ohio Canal National Historical Park,2014,5
Chattahoochee River National Recreation Area,2014,5
Hawaii Volcanoes National Park,2017,5
Death Valley National Park,2022,5
Point Reyes National Seashore,2010,5
Natchez Trace Parkway,2022,5
Suitland,2022,5
Acadia National Park,2019,5
Channel Islands National Park,2012,5
Capitol Reef National Park,2014,5
Yellowstone National Park,2014,5
Natchez Trace Parkway,2009,5
Glen Canyon National Recreation Area,2022,5
Blue Ridge Parkway,2013,5
Great Falls,2013,5
Gateway National Recreation Area,2008,5
Blue Ridge Parkway,2007,5
National Mall & Memorial Parks,2016,5
Sequoia & Kings Canyon National Parks,2015,5
Rock Creek Park,2014,5
Colorado National Monument,2022,5
Padre Island National Seashore,2017,5
Mount Rainier National Park,2020,5
Big Bend National Park,2019,5
Mojave National Preserve,2019,5
Redwood National and State Parks,2019,5
Mount Rainier National Park,2011,5
Baltimore-Washington Parkway,2015,5
Glacier National Park,2010,5
Glacier National Park,2013,5
Baltimore-Washington Parkway,2018,5
Big Cypress National Preserve,2018,5
Olympic National Park,2016,5
Great Falls Park,2017,5
Mount Rainier National Park,2019,5
Rocky Mountain National Park,2013,5
Upper Delaware Scenic & Recreational River,2011,5
Olympic National Park,2015,5
Chesapeake & Ohio Canal National Historical Park,2019,5
Yosemite National Park,2023,5
Delaware Water Gap National Recreation Area,2011,5
Delaware Water Gap National Recreation Area,2015,5
Delaware Water Gap National Recreation Area,2016,5
Delaware Water Gap National Recreation Area,2020,5
Denali National Park & Preserve,2007,5
Olympic National Park,2010,5
Upper Delaware Scenic & Recreational River,2022,5
Denali National Park & Preserve,2016,5
Denali National Park & Preserve,2018,5
Point Reyes National Seashore,2017,5
Golden Gate National Recreation Area,2011,5
Yosemite National Park,2013,5
Everglades National Park,2018,5
Rocky Mountain National Park,2017,5
Virgin Islands National Park,2018,5
Big Bend National Park,2023,5
Sequoia & Kings Canyon National Parks,2020,4
Colorado National Monument,2013,4
Ozark National Scenic Riverways,2019,4
Padre Island National Seashore,2016,4
Great Falls,2009,4
Indiana Dunes National Park,2012,4
Grand Teton National Park,2016,4
Golden Gate National Recreation Area,2023,4
Redwood National and State Parks,2015,4
Glacier National Park,2019,4
Glacier National Park,2014,4
Glacier Bay National Park & Preserve,2018,4
Grand Teton National Park,2008,4
George Washington Memorial Parkway,2020,4
George Washington Memorial Parkway,2018,4
George Washington Memorial Parkway,2016,4
George Washington Memorial Parkway,2015,4
Grand Teton National Park,2015,4
Rock Creek Park,2016,4
Santa Monica Mountains National Recreation Area,2019,4
Gateway National Recreation Area,2020,4
Joshua Tree National Park,2018,4
Saguaro National Park,2012,4
Presidio of San Francisco,2015,4
Presidio of San Francisco,2014,4
Delaware Water Gap National Recreation Area,2007,4
Death Valley National Park,2023,4
Death Valley National Park,2015,4
Death Valley National Park,2012,4
Cuyahoga Valley National Park,2022,4
Curecanti National Recreation Area,2018,4
Sequoia & Kings Canyon National Parks,2021,4
Zion National Park,2022,4
Lake Roosevelt National Recreation Area,2015,4
Little River Canyon National Preserve,2020,4
Little River Canyon National Preserve,2017,4
Cape Cod National Seashore,2011,4
Cape Hatteras National Seashore,2023,4
Natchez Trace Parkway,2023,4
Zion National Park,2019,4
Chattahoochee River National Recreation Area,2021,4
Wrangell - St Elias National Park & Reserve,2018,4
Little River Canyon National Preserve,2016,4
Blue Ridge Parkway,2012,4
National Mall & Memorial Parks,2017,4
Zion National Park,2014,4
Chattahoochee River National Recreation Area,2015,4
Cape Cod National Seashore,2018,4
Virgin Islands National Park,2022,4
Buffalo National River,2014,4
Baltimore-Washington Parkway,2016,4
Apostle Islands National Lakeshore,2018,4
Appalachian National Scenic Trail,2018,4
Appalachian National Scenic Trail,2019,4
Lake Meredith National Recreation Area,2017,4
Cape Hatteras National Seashore,2019,4
Big Bend National Park,2016,4
Cape Hatteras National Seashore,2020,4
North Cascades National Park,2017,4
Suitland,2016,4
Buffalo National River,2010,4
Olympic National Park,2018,4
National Mall & Memorial Parks,2018,4
Chattahoochee River National Recreation Area,2022,4
New River Gorge National River,2023,4
National Mall & Memorial Parks,2014,4
Canyonlands National Park,2008,4
New River Gorge National River,2013,4
Katmai National Park & Preserve,2007,4
Canaveral National Seashore,2021,4
Canyonlands National Park,2015,4
Shenandoah National Park,2016,4
Acadia National Park,2016,4
Bighorn Canyon National Recreation Area,2018,4
Biscayne National Park,2009,4
National Mall & Memorial Parks,2019,4
Lake Roosevelt National Recreation Area,2018,4
Natchez Trace Parkway,2013,4
Mammoth Cave National Park,2015,4
Lake Roosevelt National Recreation Area,2019,4
Buffalo National River,2021,4
North Cascades National Park,2008,4
Mount Rainier National Park,2008,4
National Mall & Memorial Parks,2020,4
Wilson's Creek National Battlefield,2017,4
Acadia National Park,2021,4
Saguaro National Park,2019,3
Yellowstone National Park,2013,3
Baltimore-Washington Parkway,2017,3
Point Reyes National Seashore,2019,3
Lake Roosevelt National Recreation Area,2020,3
Guadalupe Mountains National Park,2015,3
Great Smoky Mountains National Park,2012,3
Great Smoky Mountains National Park,2011,3
North Cascades National Park,2018,3
Lake Roosevelt National Recreation Area,2017,3
Shenandoah National Park,2011,3
Big Bend National Park,2013,3
North Cascades National Park,2022,3
Buffalo National River,2016,3
Saguaro National Park,2018,3
Saint Croix National Scenic Riverway,2014,3
Glen Canyon National Recreation Area,2010,3
Chesapeake & Ohio Canal National Historical Park,2021,3
Buffalo National River,2008,3
Great Smoky Mountains National Park,2008,3
Grand Teton National Park,2021,3
Grand Teton National Park,2019,3
Rock Creek Park,2018,3
Grand Teton National Park,2017,3
Gauley River National Recreation Area,2010,3
Mojave National Preserve,2022,3
Mesa Verde National Park,2018,3
Grand Teton National Park,2011,3
Grand Canyon National Park,2023,3
Whiskeytown National Recreation Area,2015,3
Big Thicket National Preserve,2019,3
George Washington Memorial Parkway,2017,3
New River Gorge National River,2010,3
New River Gorge National River,2009,3
New River Gorge National River,2008,3
Gateway National Recreation Area,2017,3
Glacier National Park,2011,3
Wrangell - St Elias National Park & Reserve,2015,3
Fort Dupont Park,2021,3
Rocky Mountain National Park,2023,3
Rocky Mountain National Park,2020,3
Big Bend National Park,2017,3
Virgin Islands National Park,2015,3
Big Bend National Park,2022,3
Virgin Islands National Park,2017,3
Glacier National Park,2017,3
Gateway National Recreation Area,2010,3
Rocky Mountain National Park,2009,3
Great Falls Park,2019,3
Glacier National Park,2016,3
Blue Ridge Parkway,2021,3
Glacier National Park,2015,3
Blue Ridge Parkway,2008,3
Virgin Islands National Park,2019,3
Yellowstone National Park,2017,3
Denali National Park & Preserve,2022,3
Anacostia Park,2015,3
Ozark National Scenic Riverways,2022,3
Chesapeake & Ohio Canal National Historical Park,2016,3
Indiana Dunes National Park,2022,3
Golden Gate National Recreation Area,2021,3
Sequoia & Kings Canyon National Parks,2010,3
Crater Lake National Park,2019,3
Indiana Dunes National Park,2018,3
Chesapeake & Ohio Canal National Historical Park,2009,3
Cumberland Gap National Historical Park,2018,3
Chattahoochee River National Recreation Area,2020,3
Indiana Dunes National Park,2008,3
Zion National Park,2018,3
Chattahoochee River National Recreation Area,2016,3
Santa Monica Mountains National Recreation Area,2017,3
Amistad National Recreation Area,2014,3
Zion National Park,2013,3
Curecanti National Recreation Area,2020,3
Chesapeake & Ohio Canal National Historical Park,2020,3
Chesapeake & Ohio Canal National Historical Park,2022,3
Olympic National Park,2021,3
Grand Canyon National Park,2008,3
Joshua Tree National Park,2019,3
Sequoia & Kings Canyon National Parks,2022,3
Joshua Tree National Park,2021,3
